Date,Transaction Type,Dr/Cr,Amount,Account,Balance After
2024-09-15,Deposit,Credit,23733.0,Customer Deposits,5023733.0
2024-09-15,Deposit,Debit,23733.0,Cash Reserves,1023733.0
2024-09-15,Deposit Fee,Credit,2637.0,Fee Income,2637.0
2024-09-15,Loan Disbursed,Debit,200117.7,Loans Outstanding,2200117.7
2024-09-15,Loan Disbursed,Credit,200117.7,Cash Reserves,823615.3
2024-09-15,Loan Fee,Credit,22235.300000000003,Fee Income,24872.300000000003
2024-09-15,Client Payment,Debit,15182.0,Customer Deposits,5008551.0
2024-09-15,Client Payment,Credit,15182.0,Cash Reserves,808433.3
2024-09-15,Treasury Transaction,Credit,86451.0,NOSTRO Account,413549.0
2024-09-15,Treasury Transaction,Debit,86451.0,Cash Reserves,894884.3
2024-09-15,Interest Income,Debit,10928.0,Cash Reserves,905812.3
2024-09-15,Interest Income,Credit,10928.0,Interest Income,10928.0
2024-09-16,Deposit,Credit,45227.7,Customer Deposits,5053778.7
2024-09-16,Deposit,Debit,45227.7,Cash Reserves,951040.0
2024-09-16,Deposit Fee,Credit,5025.3,Fee Income,29897.600000000002
2024-09-16,Loan Disbursed,Debit,176602.5,Loans Outstanding,2376720.2
2024-09-16,Loan Disbursed,Credit,176602.5,Cash Reserves,774437.5
2024-09-16,Loan Fee,Credit,19622.5,Fee Income,49520.100000000006
2024-09-16,Client Payment,Debit,8013.0,Customer Deposits,5045765.7
2024-09-16,Client Payment,Credit,8013.0,Cash Reserves,766424.5
2024-09-16,Treasury Transaction,Credit,104989.0,NOSTRO Account,308560.0
2024-09-16,Treasury Transaction,Debit,104989.0,Cash Reserves,871413.5
2024-09-16,Interest Income,Debit,12560.0,Cash Reserves,883973.5
2024-09-16,Interest Income,Credit,12560.0,Interest Income,23488.0
2024-09-17,Deposit,Credit,82976.4,Customer Deposits,5128742.100000001
2024-09-17,Deposit,Debit,82976.4,Cash Reserves,966949.9
2024-09-17,Deposit Fee,Credit,9219.6,Fee Income,58739.700000000004
2024-09-17,Loan Disbursed,Debit,127744.2,Loans Outstanding,2504464.4000000004
2024-09-17,Loan Disbursed,Credit,127744.2,Cash Reserves,839205.7000000001
2024-09-17,Loan Fee,Credit,14193.800000000001,Fee Income,72933.5
2024-09-17,Client Payment,Debit,29447.0,Customer Deposits,5099295.100000001
2024-09-17,Client Payment,Credit,29447.0,Cash Reserves,809758.7000000001
2024-09-17,Treasury Transaction,Credit,137955.0,NOSTRO Account,170605.0
2024-09-17,Treasury Transaction,Debit,137955.0,Cash Reserves,947713.7000000001
2024-09-17,Interest Income,Debit,7359.0,Cash Reserves,955072.7000000001
2024-09-17,Interest Income,Credit,7359.0,Interest Income,30847.0
2024-09-18,Deposit,Credit,69056.1,Customer Deposits,5168351.2
2024-09-18,Deposit,Debit,69056.1,Cash Reserves,1024128.8
2024-09-18,Deposit Fee,Credit,7672.900000000001,Fee Income,80606.4
2024-09-18,Loan Disbursed,Debit,115150.5,Loans Outstanding,2619614.9000000004
2024-09-18,Loan Disbursed,Credit,115150.5,Cash Reserves,908978.3
2024-09-18,Loan Fee,Credit,12794.5,Fee Income,93400.9
2024-09-18,Client Payment,Debit,20004.0,Customer Deposits,5148347.2
2024-09-18,Client Payment,Credit,20004.0,Cash Reserves,888974.3
2024-09-18,Treasury Transaction,Credit,72566.0,NOSTRO Account,98039.0
2024-09-18,Treasury Transaction,Debit,72566.0,Cash Reserves,961540.3
2024-09-18,Interest Income,Debit,10219.0,Cash Reserves,971759.3
2024-09-18,Interest Income,Credit,10219.0,Interest Income,41066.0
2024-09-19,Deposit,Credit,81061.2,Customer Deposits,5229408.4
2024-09-19,Deposit,Debit,81061.2,Cash Reserves,1052820.5
2024-09-19,Deposit Fee,Credit,9006.800000000001,Fee Income,102407.7
2024-09-19,Loan Disbursed,Debit,208935.9,Loans Outstanding,2828550.8000000003
2024-09-19,Loan Disbursed,Credit,208935.9,Cash Reserves,843884.6
2024-09-19,Loan Fee,Credit,23215.100000000002,Fee Income,125622.8
2024-09-19,Client Payment,Debit,27149.0,Customer Deposits,5202259.4
2024-09-19,Client Payment,Credit,27149.0,Cash Reserves,816735.6
2024-09-19,Treasury Transaction,Credit,60312.0,NOSTRO Account,37727.0
2024-09-19,Treasury Transaction,Debit,60312.0,Cash Reserves,877047.6
2024-09-19,Interest Income,Debit,11376.0,Cash Reserves,888423.6
2024-09-19,Interest Income,Credit,11376.0,Interest Income,52442.0
2024-09-20,Deposit,Credit,48965.4,Customer Deposits,5251224.800000001
2024-09-20,Deposit,Debit,48965.4,Cash Reserves,937389.0
2024-09-20,Deposit Fee,Credit,5440.6,Fee Income,131063.40000000001
2024-09-20,Loan Disbursed,Debit,174743.1,Loans Outstanding,3003293.9000000004
2024-09-20,Loan Disbursed,Credit,174743.1,Cash Reserves,762645.9
2024-09-20,Loan Fee,Credit,19415.9,Fee Income,150479.30000000002
2024-09-20,Client Payment,Debit,5671.0,Customer Deposits,5245553.800000001
2024-09-20,Client Payment,Credit,5671.0,Cash Reserves,756974.9
2024-09-20,Interest Income,Debit,5169.0,Cash Reserves,762143.9
2024-09-20,Interest Income,Credit,5169.0,Interest Income,57611.0
2024-09-21,Deposit,Credit,14725.8,Customer Deposits,5260279.600000001
2024-09-21,Deposit,Debit,14725.8,Cash Reserves,776869.7000000001
2024-09-21,Deposit Fee,Credit,1636.2,Fee Income,152115.50000000003
2024-09-21,Loan Disbursed,Debit,223575.3,Loans Outstanding,3226869.2
2024-09-21,Loan Disbursed,Credit,223575.3,Cash Reserves,553294.4000000001
2024-09-21,Loan Fee,Credit,24841.7,Fee Income,176957.20000000004
2024-09-21,Client Payment,Debit,10079.0,Customer Deposits,5250200.600000001
2024-09-21,Client Payment,Credit,10079.0,Cash Reserves,543215.4000000001
2024-09-21,Interest Income,Debit,14380.0,Cash Reserves,557595.4000000001
2024-09-21,Interest Income,Credit,14380.0,Interest Income,71991.0
