Date,Transaction Type,Dr/Cr,Amount,Account,Balance After
2024-09-15,Deposit,Credit,54477.9,Customer Deposits,5054477.9
2024-09-15,Deposit,Debit,54477.9,Cash Reserves,1054477.9
2024-09-15,Deposit Fee,Credit,6053.1,Fee Income,6053.1
2024-09-15,Loan Disbursed,Debit,220168.8,Loans Outstanding,2220168.8
2024-09-15,Loan Disbursed,Credit,220168.8,Cash Reserves,834309.0999999999
2024-09-15,Loan Fee,Credit,24463.2,Fee Income,30516.300000000003
2024-09-15,Client Payment,Debit,10337.0,Customer Deposits,5044140.9
2024-09-15,Client Payment,Credit,10337.0,Cash Reserves,823972.0999999999
2024-09-15,Treasury Transaction,Credit,76080.0,NOSTRO Account,423920.0
2024-09-15,Treasury Transaction,Debit,76080.0,Cash Reserves,900052.0999999999
2024-09-15,Interest Income,Debit,5507.0,Cash Reserves,905559.0999999999
2024-09-15,Interest Income,Credit,5507.0,Interest Income,
2024-09-16,Deposit,Credit,17390.7,Customer Deposits,5061531.600000001
2024-09-16,Deposit,Debit,17390.7,Cash Reserves,922949.7999999998
2024-09-16,Deposit Fee,Credit,1932.3000000000002,Fee Income,32448.600000000002
2024-09-16,Loan Disbursed,Debit,157867.2,Loans Outstanding,2378036.0
2024-09-16,Loan Disbursed,Credit,157867.2,Cash Reserves,765082.5999999999
2024-09-16,Loan Fee,Credit,17540.8,Fee Income,49989.4
2024-09-16,Client Payment,Debit,8523.0,Customer Deposits,5053008.600000001
2024-09-16,Client Payment,Credit,8523.0,Cash Reserves,756559.5999999999
2024-09-16,Treasury Transaction,Credit,124638.0,NOSTRO Account,299282.0
2024-09-16,Treasury Transaction,Debit,124638.0,Cash Reserves,881197.5999999999
2024-09-16,Interest Income,Debit,7212.0,Cash Reserves,888409.5999999999
2024-09-16,Interest Income,Credit,7212.0,Interest Income,
2024-09-17,Deposit,Credit,23928.3,Customer Deposits,5076936.9
2024-09-17,Deposit,Debit,23928.3,Cash Reserves,912337.8999999999
2024-09-17,Deposit Fee,Credit,2658.7000000000003,Fee Income,52648.1
2024-09-17,Loan Disbursed,Debit,138794.4,Loans Outstanding,2516830.4
2024-09-17,Loan Disbursed,Credit,138794.4,Cash Reserves,773543.4999999999
2024-09-17,Loan Fee,Credit,15421.6,Fee Income,68069.7
2024-09-17,Client Payment,Debit,18220.0,Customer Deposits,5058716.9
2024-09-17,Client Payment,Credit,18220.0,Cash Reserves,755323.4999999999
2024-09-17,Treasury Transaction,Credit,71228.0,NOSTRO Account,228054.0
2024-09-17,Treasury Transaction,Debit,71228.0,Cash Reserves,826551.4999999999
2024-09-17,Interest Income,Debit,10883.0,Cash Reserves,837434.4999999999
2024-09-17,Interest Income,Credit,10883.0,Interest Income,
2024-09-18,Deposit,Credit,29568.6,Customer Deposits,5088285.5
2024-09-18,Deposit,Debit,29568.6,Cash Reserves,867003.0999999999
2024-09-18,Deposit Fee,Credit,3285.4,Fee Income,71355.09999999999
2024-09-18,Loan Disbursed,Debit,96681.6,Loans Outstanding,2613512.0
2024-09-18,Loan Disbursed,Credit,96681.6,Cash Reserves,770321.4999999999
2024-09-18,Loan Fee,Credit,10742.400000000001,Fee Income,82097.5
2024-09-18,Client Payment,Debit,11123.0,Customer Deposits,5077162.5
2024-09-18,Client Payment,Credit,11123.0,Cash Reserves,759198.4999999999
2024-09-18,Treasury Transaction,Credit,98249.0,NOSTRO Account,129805.0
2024-09-18,Treasury Transaction,Debit,98249.0,Cash Reserves,857447.4999999999
2024-09-18,Interest Income,Debit,12357.0,Cash Reserves,869804.4999999999
2024-09-18,Interest Income,Credit,12357.0,Interest Income,
2024-09-19,Deposit,Credit,81738.9,Customer Deposits,5158901.4
2024-09-19,Deposit,Debit,81738.9,Cash Reserves,951543.3999999999
2024-09-19,Deposit Fee,Credit,9082.1,Fee Income,91179.6
2024-09-19,Loan Disbursed,Debit,158785.2,Loans Outstanding,2772297.2
2024-09-19,Loan Disbursed,Credit,158785.2,Cash Reserves,792758.2
2024-09-19,Loan Fee,Credit,17642.8,Fee Income,108822.40000000001
2024-09-19,Client Payment,Debit,8415.0,Customer Deposits,5150486.4
2024-09-19,Client Payment,Credit,8415.0,Cash Reserves,784343.2
2024-09-19,Treasury Transaction,Credit,92476.0,NOSTRO Account,37329.0
2024-09-19,Treasury Transaction,Debit,92476.0,Cash Reserves,876819.2
2024-09-19,Interest Income,Debit,13439.0,Cash Reserves,890258.2
2024-09-19,Interest Income,Credit,13439.0,Interest Income,
2024-09-20,Deposit,Credit,59267.7,Customer Deposits,5209754.100000001
2024-09-20,Deposit,Debit,59267.7,Cash Reserves,949525.8999999999
2024-09-20,Deposit Fee,Credit,6585.3,Fee Income,115407.70000000001
2024-09-20,Loan Disbursed,Debit,194941.8,Loans Outstanding,2967239.0
2024-09-20,Loan Disbursed,Credit,194941.8,Cash Reserves,754584.0999999999
2024-09-20,Loan Fee,Credit,21660.2,Fee Income,137067.90000000002
2024-09-20,Client Payment,Debit,12990.0,Customer Deposits,5196764.100000001
2024-09-20,Client Payment,Credit,12990.0,Cash Reserves,741594.0999999999
2024-09-20,Interest Income,Debit,7224.0,Cash Reserves,748818.0999999999
2024-09-20,Interest Income,Credit,7224.0,Interest Income,
2024-09-21,Deposit,Credit,55418.4,Customer Deposits,5252182.500000001
2024-09-21,Deposit,Debit,55418.4,Cash Reserves,804236.4999999999
2024-09-21,Deposit Fee,Credit,6157.6,Fee Income,143225.50000000003
2024-09-21,Loan Disbursed,Debit,168654.6,Loans Outstanding,3135893.6
2024-09-21,Loan Disbursed,Credit,168654.6,Cash Reserves,635581.8999999999
2024-09-21,Loan Fee,Credit,18739.4,Fee Income,161964.90000000002
2024-09-21,Client Payment,Debit,7225.0,Customer Deposits,5244957.500000001
2024-09-21,Client Payment,Credit,7225.0,Cash Reserves,628356.8999999999
2024-09-21,Interest Income,Debit,11334.0,Cash Reserves,639690.8999999999
2024-09-21,Interest Income,Credit,11334.0,Interest Income,
2024-09-22,Deposit,Credit,60457.5,Customer Deposits,5305415.000000001
2024-09-22,Deposit,Debit,60457.5,Cash Reserves,700148.3999999999
2024-09-22,Deposit Fee,Credit,6717.5,Fee Income,168682.40000000002
2024-09-22,Loan Disbursed,Debit,106362.9,Loans Outstanding,3242256.5
2024-09-22,Loan Disbursed,Credit,106362.9,Cash Reserves,593785.4999999999
2024-09-22,Loan Fee,Credit,11818.1,Fee Income,180500.50000000003
2024-09-22,Client Payment,Debit,23850.0,Customer Deposits,5281565.000000001
2024-09-22,Client Payment,Credit,23850.0,Cash Reserves,569935.4999999999
2024-09-22,Interest Income,Debit,10556.0,Cash Reserves,580491.4999999999
2024-09-22,Interest Income,Credit,10556.0,Interest Income,
2024-09-23,Deposit,Credit,25777.8,Customer Deposits,5307342.800000001
2024-09-23,Deposit,Debit,25777.8,Cash Reserves,606269.2999999999
2024-09-23,Deposit Fee,Credit,2864.2000000000003,Fee Income,183364.70000000004
2024-09-23,Loan Disbursed,Debit,135248.4,Loans Outstanding,3377504.9
2024-09-23,Loan Disbursed,Credit,135248.4,Cash Reserves,471020.8999999999
2024-09-23,Loan Fee,Credit,15027.6,Fee Income,198392.30000000005
2024-09-23,Client Payment,Debit,27828.0,Customer Deposits,5279514.800000001
2024-09-23,Client Payment,Credit,27828.0,Cash Reserves,443192.8999999999
2024-09-23,Interest Income,Debit,6374.0,Cash Reserves,449566.8999999999
2024-09-23,Interest Income,Credit,6374.0,Interest Income,
2024-09-24,Deposit,Credit,71743.5,Customer Deposits,5351258.300000001
